Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.29     0.00        2     0.00     0.00  std::_Vector_base<Primitive*, std::allocator<Primitive*> >::_M_get_Tp_allocator() const
  0.00      0.29     0.00        2     0.00     0.00  std::vector<Light, std::allocator<Light> >::max_size() const
  0.00      0.29     0.00        2     0.00     0.00  std::vector<Primitive*, std::allocator<Primitive*> >::max_size() const
  0.00      0.29     0.00        2     0.00     0.00  std::allocator<Light>::allocator()
  0.00      0.29     0.00        2     0.00     0.00  std::allocator<Primitive*>::allocator()
  0.00      0.29     0.00        2     0.00     0.00  std::allocator<Primitive*>::~allocator()
  0.00      0.29     0.00        2     0.00     0.00  Primitive** std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<Primitive*>(Primitive* const*, Primitive* const*, Primitive**)
  0.00      0.29     0.00        2     0.00     0.00  std::_Vector_base<Light, std::allocator<Light> >::_Vector_impl::_Vector_impl()
  0.00      0.29     0.00        2     0.00     0.00  std::_Vector_base<Light, std::allocator<Light> >::_Vector_base()
  0.00      0.29     0.00        2     0.00     0.00  std::_Vector_base<Primitive*, std::allocator<Primitive*> >::_M_allocate(unsigned int)
  0.00      0.29     0.00        2     0.00     0.00  std::_Vector_base<Primitive*, std::allocator<Primitive*> >::_Vector_impl::_Vector_impl()
  0.00      0.29     0.00        2     0.00     0.00  std::_Vector_base<Primitive*, std::allocator<Primitive*> >::_Vector_impl::~_Vector_impl()
  0.00      0.29     0.00        2     0.00     0.00  std::_Vector_base<Primitive*, std::allocator<Primitive*> >::_Vector_base()
  0.00      0.29     0.00        2     0.00     0.00  std::_Vector_base<Primitive*, std::allocator<Primitive*> >::~_Vector_base()
  0.00      0.29     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<Light> >::max_size(std::allocator<Light> const&)
  0.00      0.29     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<Primitive*> >::deallocate(std::allocator<Primitive*>&, Primitive**, unsigned int)
  0.00      0.29     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<Primitive*> >::allocate(std::allocator<Primitive*>&, unsigned int)
  0.00      0.29     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<Primitive*> >::max_size(std::allocator<Primitive*> const&)
  0.00      0.29     0.00        2     0.00     0.00  Light* std::__uninitialized_copy<false>::__uninit_copy<Light const*, Light*>(Light const*, Light const*, Light*)
  0.00      0.29     0.00        2     0.00     0.00  Primitive** std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<Primitive**>, Primitive**>(std::move_iterator<Primitive**>, std::move_iterator<Primitive**>, Primitive**)
  0.00      0.29     0.00        2     0.00     0.00  std::vector<Light, std::allocator<Light> >::vector()
  0.00      0.29     0.00        2     0.00     0.00  std::vector<Primitive*, std::allocator<Primitive*> >::vector()
  0.00      0.29     0.00        2     0.00     0.00  std::vector<Primitive*, std::allocator<Primitive*> >::~vector()
  0.00      0.29     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<Primitive* const*, std::vector<Primitive*, std::allocator<Primitive*> > > std::__miter_base<__gnu_cxx::__normal_iterator<Primitive* const*, std::vector<Primitive*, std::allocator<Primitive*> > > >(__gnu_cxx::__normal_iterator<Primitive* const*, std::vector<Primitive*, std::allocator<Primitive*> > >)
  0.00      0.29     0.00        2     0.00     0.00  Primitive* const* std::__niter_base<Primitive* const*, std::vector<Primitive*, std::allocator<Primitive*> > >(__gnu_cxx::__normal_iterator<Primitive* const*, std::vector<Primitive*, std::allocator<Primitive*> > >)
  0.00      0.29     0.00        2     0.00     0.00  Primitive** std::__copy_move_a<true, Primitive**, Primitive**>(Primitive**, Primitive**, Primitive**)
  0.00      0.29     0.00        2     0.00     0.00  Primitive** std::__copy_move_a2<true, Primitive**, Primitive**>(Primitive**, Primitive**, Primitive**)
  0.00      0.29     0.00        2     0.00     0.00  Light* std::uninitialized_copy<Light const*, Light*>(Light const*, Light const*, Light*)
  0.00      0.29     0.00        2     0.00     0.00  Primitive** std::uninitialized_copy<std::move_iterator<Primitive**>, Primitive**>(std::move_iterator<Primitive**>, std::move_iterator<Primitive**>, Primitive**)
  0.00      0.29     0.00        2     0.00     0.00  Light* std::__uninitialized_copy_a<Light const*, Light*, Light>(Light const*, Light const*, Light*, std::allocator<Light>&)
  0.00      0.29     0.00        2     0.00     0.00  Primitive** std::__uninitialized_copy_a<std::move_iterator<Primitive**>, Primitive**, Primitive*>(std::move_iterator<Primitive**>, std::move_iterator<Primitive**>, Primitive**, std::allocator<Primitive*>&)
  0.00      0.29     0.00        2     0.00     0.00  Light* std::__uninitialized_move_if_noexcept_a<Light*, Light*, std::allocator<Light> >(Light*, Light*, Light*, std::allocator<Light>&)
  0.00      0.29     0.00        2     0.00     0.00  Primitive** std::__uninitialized_move_if_noexcept_a<Primitive**, Primitive**, std::allocator<Primitive*> >(Primitive**, Primitive**, Primitive**, std::allocator<Primitive*>&)
  0.00      0.29     0.00        2     0.00     0.00  unsigned int const& std::max<unsigned int>(unsigned int const&, unsigned int const&)
  0.00      0.29     0.00        2     0.00     0.00  Primitive** std::copy<std::move_iterator<Primitive**>, Primitive**>(std::move_iterator<Primitive**>, std::move_iterator<Primitive**>, Primitive**)
  0.00      0.29     0.00        1     0.00     0.00  readScreen(Screen*)
  0.00      0.29     0.00        1     0.00     0.00  readSphere(Scene*, Properties)
  0.00      0.29     0.00        1     0.00     0.00  readObserver(Observer*, char*, _iobuf*)
  0.00      0.29     0.00        1     0.00     0.00  parseArguments(int, char**)
  0.00      0.29     0.00        1     0.00     0.00  readBackground(Scene*)
  0.00      0.29     0.00        1     0.00     0.00  readProperties()
  0.00      0.29     0.00        1     0.00     0.00  readFile(char*, RayTracer*)
  0.00      0.29     0.00        1     0.00     0.00  readLight(Scene*)
  0.00      0.29     0.00        1     0.00     0.00  Properties::Properties(Color, float, float, float, float, float)
